"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz","class"
422,"Female","Second/ Sophomore","18-24","70-79","Laptop","Laptop","1-3 ","6-9","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
423,"Female","Other","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","Disagree","Disagree","Agree","Strongly Agree","Uncertain","Uncertain","Uncertain","Uncertain","Agree","Agree","Uncertain	","Uncertain	","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Agree",2
424,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","6-9","Strongly Agree","Strongly Agree","Strongly Disagree","Uncertain","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain",3
425,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree	","Uncertain	","Disagree","Agree","Agree","Agree","Uncertain","Uncertain","Disagree","Uncertain","Uncertain","Disagree",2
426,"Male","Second/ Sophomore","18-24","80-89","Other","Laptop","6-9","1-3 ","Uncertain","Strongly Agree","Agree","Uncertain","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",3
427,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","I pad/ Tablet","1-3 ","3-6","Disagree","Disagree","Agree","Agree","Agree","Disagree","Uncertain","Agree","Disagree","Agree","Agree	","Agree	","Uncertain	","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree",1
428,"Female","Second/ Sophomore","25-30","70-79","Mobile phone","Laptop","1-3 ","6-9","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
429,"Female","Second/ Sophomore","25-30","70-79","Mobile phone","Laptop","1-3 ","3-6","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
430,"Female","Second/ Sophomore","18-24","60-69","Laptop","Mobile phone","1-3 ","1-3 ","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
431,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Laptop","1-3 ","9-12","Agree","Uncertain","Strongly Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Uncertain	","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
432,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Disagree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
433,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Mobile phone","6-9","6-9","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
434,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
435,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","3-6","3-6","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Uncertain","Agree","Agree","Agree	","Uncertain	","Strongly Agree","Agree	","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
436,"Female","Fourth/Senior","25-30","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Uncertain","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
437,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","9-12","Agree","Agree","Agree","Agree","Agree","Uncertain","Strongly Agree","Strongly Agree","Uncertain","Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
438,"Female","Fourth/Senior","18-24","70-79","Mobile phone","I pad/ Tablet","1-3 ","6-9","Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree	","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree",3
439,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","3-6","6-9","Uncertain","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
440,"Female","Fourth/Senior","18-24","+90","I pad/ Tablet","I pad/ Tablet","3-6","3-6","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",1
441,"Female","Third/Junior","18-24","+90","Mobile phone","Mobile phone","6-9","6-9","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Strongly Agree","Uncertain","Disagree","Agree","Strongly Agree","Uncertain","Agree",2
442,"Male","First/Freshman","18-24","+90","Mobile phone","Laptop","1-3 ","3-6","Uncertain","Agree","Disagree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Uncertain	","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",1
443,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","9-12","+12","Strongly Agree","Strongly Agree","Disagree","Disagree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree",1
444,"Male","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","3-6","9-12","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
445,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","Disagree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain",3
446,"Female","First/Freshman","18-24","+90","Laptop","Laptop","6-9","9-12","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Uncertain","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Agree","Uncertain","Agree","Agree","Strongly Agree","Agree","Agree",1
447,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","","","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree",1
448,"Female","Third/Junior","18-24","80-89","Laptop","Mobile phone","1-3 ","9-12","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Uncertain	","Agree	","Uncertain	","Agree	","Agree","Strongly Agree","Agree","Uncertain","Agree","Uncertain","Strongly Agree","Uncertain","Uncertain",2
449,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","3-6","9-12","Agree","Strongly Agree","Disagree","Uncertain","Agree","Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree	","Agree	","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Agree","Uncertain","Disagree","Agree","Disagree",2
450,"Male","Third/Junior","18-24","70-79","I pad/ Tablet","Laptop","1-3 ","9-12","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree",3
451,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","3-6","9-12","Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Disagree","Agree","Strongly Disagree","Uncertain","Strongly Agree","Disagree","Agree	","Agree	","Disagree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree",2
452,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","6-9","9-12","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
453,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","9-12","9-12","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Disagree","Strongly Disagree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Agree","Agree","Strongly Agree","Agree","Uncertain",1
454,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","9-12","9-12","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Disagree","Strongly Disagree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Uncertain","Agree","Strongly Agree","Strongly Agree","Disagree",2
455,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","6-9","9-12","Strongly Agree","Strongly Agree","Uncertain","Agree","Agree","Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree",3
456,"Male","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","+12","+12","Uncertain","Strongly Agree","Uncertain","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Uncertain	","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Uncertain",2
457,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","6-9","+12","Strongly Agree","Uncertain","Strongly Agree","Disagree","Agree","Uncertain","Strongly Agree","Strongly Disagree","Uncertain","Uncertain","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Uncertain","Agree","Uncertain","Agree","Agree","Strongly Agree","Uncertain","Disagree","Strongly Disagree",2
458,"Male","Fourth/Senior","18-24","80-89","Other","Mobile phone","1-3 ","3-6","Disagree","Agree","Uncertain","Uncertain","Disagree","Strongly Disagree","Uncertain","Disagree","Uncertain","Disagree","Uncertain	","Uncertain	","Disagree","Uncertain	","Uncertain","Uncertain","Agree","Agree","Agree","Uncertain","Agree","Agree","Uncertain",2
459,"Male","Fourth/Senior","25-30","80-89","Laptop","Mobile phone","3-6","6-9","Uncertain","Uncertain","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
460,"Male","First/Freshman","18-24","70-79","Other","Mobile phone","1-3 ","3-6","Agree","Uncertain","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree",1
461,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
462,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
463,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
464,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
465,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
466,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
467,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
468,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
469,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
470,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
471,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
472,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
473,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
474,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Disagree","Uncertain","Uncertain","Agree","Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",2
475,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Uncertain","Agree","Uncertain","Uncertain","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Agree	","Disagree","Uncertain	","Uncertain","Agree","Uncertain","Disagree","Uncertain","Disagree","Uncertain","Uncertain","Uncertain",2
476,"Female","Third/Junior","18-24","+90","Mobile phone","Laptop","1-3 ","6-9","Uncertain","Strongly Agree","Agree","Disagree","Strongly Agree","Uncertain","Disagree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
477,"Female","Third/Junior","18-24","80-89","Other","Laptop","3-6","6-9","Disagree","Agree","Uncertain","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree	","Agree	","Agree	","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Uncertain","Agree",2
478,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","6-9","+12","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
479,"Female","Other","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","Agree","Agree","Disagree","Uncertain","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
480,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","3-6","+12","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Uncertain","Disagree","Agree",3
481,"Female","First/Freshman","18-24","+90","Mobile phone","Mobile phone","1-3 ","9-12","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",3
482,"Male","Third/Junior","18-24","70-79","Laptop","Mobile phone","6-9","9-12","Uncertain","Strongly Agree","Agree","Agree","Agree","Disagree","Uncertain","Agree","Agree","Agree","Agree	","Agree	","Agree	","Agree	","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",2
483,"Female","Fourth/Senior","18-24","70-79","Laptop","Laptop","1-3 ","3-6","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree	","Disagree","Uncertain	","Agree","Agree","Strongly Agree","Uncertain","Agree","Agree","Agree","Strongly Agree","Agree",2
484,"Male","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","3-6","9-12","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
485,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","6-9","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
486,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","6-9","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
487,"Male","Third/Junior","18-24","60-69","Mobile phone","Laptop","9-12","3-6","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain",1
488,"Male","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Uncertain","Disagree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
489,"Male","Third/Junior","18-24","60-69","Mobile phone","Mobile phone","1-3 ","1-3 ","Disagree","Disagree","Uncertain","Uncertain","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
490,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
491,"Male","Second/ Sophomore","18-24","70-79","I pad/ Tablet","Laptop","1-3 ","9-12","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
492,"Male","Second/ Sophomore","18-24","70-79","I pad/ Tablet","Laptop","1-3 ","9-12","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",3
493,"Male","Fourth/Senior","25-30","60-69","Mobile phone","I pad/ Tablet","1-3 ","1-3 ","Agree","Agree","Agree","Uncertain","Strongly Agree","Agree","Uncertain","Disagree","Strongly Agree","Strongly Agree","Agree	","Uncertain	","Agree	","Agree	","Uncertain","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree",2
494,"Male","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Uncertain","Uncertain","Disagree","Disagree","Agree	","Uncertain	","Agree	","Uncertain	","Agree","Agree","Agree","Uncertain","Uncertain","Uncertain","Uncertain","Agree","Uncertain",2
